Date,Open,High,Low,Close
10/7/2022,3.79%,3.87%,3.78%,3.85%
10/6/2022,3.76%,3.82%,3.73%,3.79%
10/5/2022,3.70%,3.81%,3.68%,3.76%
10/4/2022,3.68%,3.72%,3.64%,3.70%
10/3/2022,3.78%,3.78%,3.64%,3.68%
9/30/2022,3.73%,3.79%,3.63%,3.78%
9/29/2022,3.70%,3.79%,3.68%,3.73%
9/28/2022,3.83%,3.90%,3.66%,3.70%
9/27/2022,3.74%,3.87%,3.67%,3.83%
9/26/2022,3.61%,3.75%,3.61%,3.74%
9/23/2022,3.64%,3.72%,3.57%,3.61%
9/22/2022,3.50%,3.65%,3.47%,3.64%
9/21/2022,3.57%,3.61%,3.49%,3.50%
9/20/2022,3.52%,3.62%,3.50%,3.57%
9/19/2022,3.52%,3.57%,3.49%,3.52%
9/16/2022,3.47%,3.54%,3.46%,3.52%
9/15/2022,3.46%,3.52%,3.45%,3.47%
9/14/2022,3.49%,3.55%,3.46%,3.46%
9/13/2022,3.52%,3.58%,3.45%,3.49%
9/12/2022,3.45%,3.53%,3.41%,3.52%
9/9/2022,3.48%,3.50%,3.42%,3.45%
9/8/2022,3.41%,3.48%,3.36%,3.48%
9/7/2022,3.50%,3.52%,3.40%,3.41%
9/6/2022,3.35%,3.51%,3.35%,3.50%
9/5/2022,3.35%,3.35%,3.35%,3.35%
9/2/2022,3.37%,3.42%,3.33%,3.35%
9/1/2022,3.30%,3.42%,3.29%,3.37%
8/31/2022,3.22%,3.30%,3.21%,3.30%
8/30/2022,3.24%,3.28%,3.19%,3.22%
8/29/2022,3.20%,3.27%,3.20%,3.24%
8/26/2022,3.24%,3.30%,3.19%,3.20%
8/25/2022,3.32%,3.33%,3.23%,3.24%
8/24/2022,3.26%,3.34%,3.23%,3.32%
8/23/2022,3.23%,3.29%,3.20%,3.26%
8/22/2022,3.21%,3.27%,3.18%,3.23%
8/19/2022,3.14%,3.24%,3.13%,3.21%
8/18/2022,3.15%,3.18%,3.10%,3.14%
8/17/2022,3.09%,3.17%,3.09%,3.15%
8/16/2022,3.10%,3.17%,3.08%,3.09%
8/15/2022,3.11%,3.13%,3.05%,3.10%
8/12/2022,3.18%,3.18%,3.11%,3.11%
8/11/2022,3.04%,3.19%,3.00%,3.18%
8/10/2022,3.00%,3.06%,2.91%,3.04%
8/9/2022,2.99%,3.03%,2.98%,3.00%
8/8/2022,3.07%,3.09%,2.97%,2.99%
8/5/2022,2.97%,3.11%,2.95%,3.07%
8/4/2022,2.95%,2.99%,2.93%,2.97%
8/3/2022,3.01%,3.07%,2.94%,2.95%
8/2/2022,2.92%,3.04%,2.86%,3.01%
8/1/2022,3.01%,3.06%,2.91%,2.92%
7/29/2022,3.03%,3.09%,2.96%,3.01%
7/28/2022,3.07%,3.10%,2.97%,3.03%
7/27/2022,3.03%,3.08%,2.98%,3.07%
7/26/2022,3.03%,3.03%,2.95%,3.03%
7/25/2022,2.98%,3.08%,2.98%,3.03%
7/22/2022,3.05%,3.08%,2.95%,2.98%
7/21/2022,3.16%,3.21%,3.04%,3.05%
7/20/2022,3.18%,3.20%,3.11%,3.16%
7/19/2022,3.16%,3.21%,3.13%,3.18%
7/18/2022,3.08%,3.18%,3.08%,3.16%
7/15/2022,3.11%,3.13%,3.05%,3.08%
7/14/2022,3.12%,3.16%,3.07%,3.11%
7/13/2022,3.17%,3.23%,3.07%,3.12%
7/12/2022,3.18%,3.18%,3.09%,3.17%
7/11/2022,3.25%,3.27%,3.15%,3.18%
7/8/2022,3.19%,3.28%,3.16%,3.25%
7/7/2022,3.13%,3.21%,3.10%,3.19%
7/6/2022,3.04%,3.14%,3.00%,3.13%
7/5/2022,3.12%,3.20%,3.01%,3.04%
7/4/2022,3.12%,3.12%,3.12%,3.12%
7/1/2022,3.19%,3.20%,3.03%,3.12%
6/30/2022,3.22%,3.23%,3.12%,3.19%
6/29/2022,3.28%,3.30%,3.21%,3.22%
6/28/2022,3.32%,3.37%,3.28%,3.28%
6/27/2022,3.26%,3.34%,3.25%,3.32%
6/24/2022,3.21%,3.27%,3.16%,3.26%
6/23/2022,3.25%,3.26%,3.15%,3.21%
6/22/2022,3.34%,3.35%,3.23%,3.25%
6/21/2022,3.28%,3.40%,3.28%,3.34%
6/20/2022,3.28%,3.28%,3.28%,3.28%
6/17/2022,3.25%,3.34%,3.24%,3.28%
6/16/2022,3.33%,3.50%,3.22%,3.25%
6/15/2022,3.43%,3.43%,3.32%,3.33%
6/14/2022,3.35%,3.45%,3.28%,3.43%
6/13/2022,3.20%,3.39%,3.15%,3.35%
6/10/2022,3.17%,3.24%,3.09%,3.20%
6/9/2022,3.18%,3.21%,3.15%,3.17%
6/8/2022,3.13%,3.20%,3.13%,3.18%
6/7/2022,3.20%,3.21%,3.11%,3.13%
6/6/2022,3.10%,3.20%,3.09%,3.20%
6/3/2022,3.08%,3.16%,3.07%,3.10%
6/2/2022,3.06%,3.11%,3.04%,3.08%
6/1/2022,3.05%,3.10%,3.03%,3.06%
5/31/2022,2.97%,3.10%,2.97%,3.05%
5/30/2022,2.97%,2.97%,2.97%,2.97%
5/27/2022,2.98%,3.00%,2.94%,2.97%
5/26/2022,2.98%,3.03%,2.93%,2.98%
5/25/2022,2.97%,3.00%,2.92%,2.98%
5/24/2022,3.06%,3.07%,2.94%,2.97%
5/23/2022,2.99%,3.08%,2.99%,3.06%
5/20/2022,3.06%,3.09%,2.98%,3.07%
5/19/2022,3.07%,3.11%,2.98%,3.07%
5/18/2022,3.18%,3.21%,3.05%,3.16%
5/17/2022,3.10%,3.20%,3.10%,3.08%
5/16/2022,3.09%,3.12%,3.05%,3.09%
5/13/2022,3.02%,3.10%,3.00%,3.09%
5/12/2022,3.05%,3.06%,2.96%,3.04%
5/11/2022,3.13%,3.22%,3.03%,3.05%
5/10/2022,3.16%,3.19%,3.06%,3.22%
5/9/2022,3.23%,3.31%,3.15%,3.23%
5/6/2022,3.12%,3.24%,3.12%,3.23%
5/5/2022,3.04%,3.21%,3.01%,3.16%
5/4/2022,3.01%,3.06%,2.98%,3.04%
5/3/2022,3.03%,3.06%,2.97%,3.01%
5/2/2022,3.00%,3.08%,2.98%,3.03%
4/29/2022,2.90%,3.01%,2.90%,3.00%
4/28/2022,2.92%,2.97%,2.89%,2.90%
4/27/2022,2.83%,2.93%,2.82%,2.92%
4/26/2022,2.89%,2.93%,2.82%,2.83%
4/25/2022,2.95%,2.95%,2.86%,2.89%
4/22/2022,2.93%,2.97%,2.89%,2.94%
4/21/2022,2.88%,2.99%,2.88%,2.93%
4/20/2022,3.00%,3.04%,2.86%,2.88%
4/19/2022,2.95%,3.02%,2.93%,3.00%
4/18/2022,2.92%,2.97%,2.90%,2.95%
4/15/2022,2.92%,2.92%,2.92%,2.92%
4/14/2022,2.81%,2.93%,2.77%,2.92%
4/13/2022,2.82%,2.87%,2.77%,2.81%
4/12/2022,2.81%,2.86%,2.76%,2.83%
4/11/2022,2.72%,2.84%,2.72%,2.81%
4/8/2022,2.68%,2.76%,2.65%,2.70%
4/7/2022,2.63%,2.72%,2.59%,2.64%
4/6/2022,2.58%,2.68%,2.58%,2.63%
4/5/2022,2.46%,2.60%,2.46%,2.58%
4/4/2022,2.44%,2.51%,2.44%,2.46%
4/1/2022,2.45%,2.55%,2.41%,2.44%
3/31/2022,2.48%,2.49%,2.43%,2.45%
3/30/2022,2.51%,2.55%,2.46%,2.48%
3/29/2022,2.55%,2.61%,2.48%,2.51%
3/28/2022,2.59%,2.65%,2.52%,2.55%
3/25/2022,2.54%,2.64%,2.50%,2.59%
3/24/2022,2.49%,2.58%,2.49%,2.54%
3/23/2022,2.60%,2.64%,2.47%,2.49%
3/22/2022,2.52%,2.61%,2.52%,2.60%
3/21/2022,2.43%,2.56%,2.42%,2.52%
3/18/2022,2.47%,2.49%,2.41%,2.43%
3/17/2022,2.46%,2.50%,2.36%,2.47%
3/16/2022,2.48%,2.54%,2.44%,2.46%
3/15/2022,2.48%,2.50%,2.43%,2.48%
3/14/2022,2.36%,2.49%,2.36%,2.48%
3/11/2022,2.37%,2.39%,2.34%,2.36%
3/10/2022,2.34%,2.40%,2.30%,2.37%
3/9/2022,2.23%,2.34%,2.22%,2.34%
3/8/2022,2.20%,2.27%,2.16%,2.23%
3/7/2022,2.16%,2.21%,2.11%,2.20%
3/4/2022,2.23%,2.23%,2.13%,2.16%
3/3/2022,2.25%,2.27%,2.20%,2.23%
3/2/2022,2.11%,2.28%,2.10%,2.25%
3/1/2022,2.16%,2.20%,2.07%,2.11%
2/28/2022,2.28%,2.28%,2.15%,2.16%
2/25/2022,2.28%,2.33%,2.24%,2.28%
2/24/2022,2.30%,2.30%,2.16%,2.28%
2/23/2022,2.24%,2.31%,2.24%,2.30%
2/22/2022,2.25%,2.27%,2.18%,2.24%
2/21/2022,2.25%,2.25%,2.25%,2.25%
2/18/2022,2.30%,2.33%,2.24%,2.25%
2/17/2022,2.35%,2.35%,2.27%,2.30%
2/16/2022,2.36%,2.39%,2.31%,2.35%
2/15/2022,2.29%,2.37%,2.27%,2.36%
2/14/2022,2.25%,2.33%,2.21%,2.29%
2/11/2022,2.31%,2.35%,2.23%,2.25%
2/10/2022,2.25%,2.34%,2.22%,2.32%
2/9/2022,2.26%,2.26%,2.21%,2.25%
2/8/2022,2.22%,2.27%,2.22%,2.26%
2/7/2022,2.21%,2.25%,2.19%,2.22%
2/4/2022,2.16%,2.24%,2.12%,2.21%
2/3/2022,2.11%,2.19%,2.09%,2.16%
2/2/2022,2.12%,2.14%,2.06%,2.11%
2/1/2022,2.11%,2.15%,2.07%,2.12%
1/31/2022,2.08%,2.13%,2.08%,2.11%
1/28/2022,2.10%,2.14%,2.07%,2.08%
1/27/2022,2.17%,2.17%,2.07%,2.10%
1/26/2022,2.12%,2.19%,2.11%,2.17%
1/25/2022,2.11%,2.14%,2.07%,2.12%
