Date,Open,High,Low,Close
09/26/2022,"3.612%","3.749%","3.612%","3.740%"
09/23/2022,"3.644%","3.718%","3.569%","3.612%"
09/22/2022,"3.504%","3.651%","3.466%","3.644%"
09/21/2022,"3.572%","3.605%","3.485%","3.504%"
09/20/2022,"3.515%","3.615%","3.503%","3.572%"
09/19/2022,"3.518%","3.572%","3.487%","3.515%"
09/16/2022,"3.473%","3.543%","3.456%","3.518%"
09/15/2022,"3.460%","3.515%","3.449%","3.473%"
09/14/2022,"3.494%","3.549%","3.457%","3.460%"
09/13/2022,"3.515%","3.577%","3.454%","3.494%"
09/12/2022,"3.449%","3.533%","3.413%","3.515%"
09/09/2022,"3.477%","3.495%","3.420%","3.449%"
09/08/2022,"3.414%","3.483%","3.361%","3.477%"
09/07/2022,"3.504%","3.518%","3.397%","3.414%"
09/06/2022,"3.347%","3.506%","3.347%","3.504%"
09/05/2022,"3.347%","3.347%","3.347%","3.347%"
09/02/2022,"3.367%","3.418%","3.334%","3.347%"
09/01/2022,"3.299%","3.418%","3.293%","3.367%"
08/31/2022,"3.221%","3.303%","3.208%","3.299%"
08/30/2022,"3.242%","3.275%","3.189%","3.221%"
08/29/2022,"3.197%","3.271%","3.197%","3.242%"
08/26/2022,"3.244%","3.298%","3.185%","3.197%"
08/25/2022,"3.315%","3.333%","3.226%","3.244%"
08/24/2022,"3.257%","3.335%","3.233%","3.315%"
08/23/2022,"3.232%","3.286%","3.196%","3.257%"
08/22/2022,"3.214%","3.272%","3.180%","3.232%"
08/19/2022,"3.142%","3.238%","3.132%","3.214%"
08/18/2022,"3.154%","3.180%","3.099%","3.142%"
08/17/2022,"3.092%","3.167%","3.089%","3.154%"
08/16/2022,"3.103%","3.171%","3.079%","3.092%"
08/15/2022,"3.114%","3.129%","3.054%","3.103%"
08/12/2022,"3.182%","3.182%","3.105%","3.114%"
08/11/2022,"3.035%","3.187%","3.002%","3.182%"
08/10/2022,"2.995%","3.063%","2.914%","3.035%"
08/09/2022,"2.989%","3.031%","2.975%","2.995%"
08/08/2022,"3.072%","3.091%","2.973%","2.989%"
08/05/2022,"2.972%","3.109%","2.951%","3.072%"
08/04/2022,"2.947%","2.993%","2.925%","2.972%"
08/03/2022,"3.010%","3.073%","2.939%","2.947%"
08/02/2022,"2.918%","3.038%","2.857%","3.010%"
08/01/2022,"3.009%","3.059%","2.908%","2.918%"
07/29/2022,"3.029%","3.086%","2.962%","3.009%"
07/28/2022,"3.069%","3.098%","2.967%","3.029%"
07/27/2022,"3.028%","3.079%","2.979%","3.069%"
07/26/2022,"3.027%","3.033%","2.946%","3.028%"
07/25/2022,"2.975%","3.078%","2.975%","3.027%"
07/22/2022,"3.046%","3.078%","2.950%","2.975%"
07/21/2022,"3.163%","3.212%","3.043%","3.046%"
07/20/2022,"3.178%","3.195%","3.106%","3.163%"
07/19/2022,"3.158%","3.209%","3.134%","3.178%"
07/18/2022,"3.081%","3.182%","3.077%","3.158%"
07/15/2022,"3.113%","3.131%","3.054%","3.081%"
07/14/2022,"3.121%","3.164%","3.074%","3.113%"
07/13/2022,"3.166%","3.233%","3.065%","3.121%"
07/12/2022,"3.179%","3.179%","3.087%","3.166%"
07/11/2022,"3.254%","3.267%","3.151%","3.179%"
07/08/2022,"3.189%","3.279%","3.164%","3.254%"
07/07/2022,"3.126%","3.209%","3.098%","3.189%"
07/06/2022,"3.042%","3.142%","2.996%","3.126%"
07/05/2022,"3.117%","3.200%","3.014%","3.042%"
07/04/2022,"3.117%","3.117%","3.117%","3.117%"
07/01/2022,"3.185%","3.197%","3.030%","3.117%"
06/30/2022,"3.220%","3.232%","3.118%","3.185%"
06/29/2022,"3.282%","3.304%","3.209%","3.220%"
06/28/2022,"3.319%","3.366%","3.276%","3.282%"
06/27/2022,"3.263%","3.343%","3.253%","3.319%"
06/24/2022,"3.206%","3.268%","3.164%","3.263%"
06/23/2022,"3.253%","3.261%","3.146%","3.206%"
06/22/2022,"3.339%","3.352%","3.226%","3.253%"
06/21/2022,"3.282%","3.396%","3.282%","3.339%"
06/20/2022,"3.282%","3.282%","3.282%","3.282%"
06/17/2022,"3.254%","3.339%","3.244%","3.282%"
06/16/2022,"3.333%","3.495%","3.224%","3.254%"
06/15/2022,"3.429%","3.431%","3.317%","3.333%"
06/14/2022,"3.352%","3.447%","3.277%","3.429%"
06/13/2022,"3.196%","3.394%","3.150%","3.352%"
06/10/2022,"3.166%","3.242%","3.091%","3.196%"
06/09/2022,"3.177%","3.213%","3.149%","3.166%"
06/08/2022,"3.134%","3.196%","3.131%","3.177%"
06/07/2022,"3.201%","3.209%","3.113%","3.134%"
06/06/2022,"3.095%","3.201%","3.091%","3.201%"
06/03/2022,"3.081%","3.160%","3.069%","3.095%"
06/02/2022,"3.063%","3.114%","3.044%","3.081%"
06/01/2022,"3.052%","3.102%","3.029%","3.063%"
05/31/2022,"2.970%","3.095%","2.970%","3.052%"
05/30/2022,"2.970%","2.970%","2.970%","2.970%"
05/27/2022,"2.978%","3.003%","2.942%","2.970%"
05/26/2022,"2.975%","3.029%","2.934%","2.978%"
05/25/2022,"2.972%","2.998%","2.921%","2.975%"
05/24/2022,"3.061%","3.072%","2.943%","2.972%"
05/23/2022,"2.989%","3.079%","2.989%","3.061%"
05/20/2022,"3.056%","3.087%","2.975%","3.070%"
05/19/2022,"3.068%","3.107%","2.977%","3.073%"
05/18/2022,"3.181%","3.207%","3.052%","3.163%"
05/17/2022,"3.101%","3.195%","3.098%","3.081%"
05/16/2022,"3.086%","3.115%","3.045%","3.093%"
05/13/2022,"3.019%","3.101%","2.996%","3.086%"
05/12/2022,"3.047%","3.057%","2.955%","3.040%"
05/11/2022,"3.132%","3.216%","3.025%","3.047%"
05/10/2022,"3.157%","3.187%","3.062%","3.215%"
05/09/2022,"3.230%","3.309%","3.153%","3.225%"
05/06/2022,"3.124%","3.241%","3.123%","3.230%"
05/05/2022,"3.037%","3.211%","3.006%","3.161%"
05/04/2022,"3.012%","3.058%","2.978%","3.037%"
05/03/2022,"3.032%","3.055%","2.965%","3.012%"
05/02/2022,"3.003%","3.076%","2.978%","3.032%"
04/29/2022,"2.895%","3.005%","2.895%","3.003%"
04/28/2022,"2.923%","2.970%","2.891%","2.895%"
04/27/2022,"2.831%","2.928%","2.821%","2.923%"
04/26/2022,"2.888%","2.925%","2.823%","2.831%"
04/25/2022,"2.948%","2.948%","2.857%","2.888%"
04/22/2022,"2.928%","2.973%","2.889%","2.938%"
04/21/2022,"2.881%","2.988%","2.878%","2.928%"
04/20/2022,"3.001%","3.036%","2.861%","2.881%"
